2025년도 유치부 예산 집행,,,,,
번호,날짜,세목,세세목,내역,금액
1,2025-01-12,유치부,교육비,신입생 선물(비타민 1000정),"₩17,900"
2,2025-01-12,유치부,교육비,말씀 암송 간식,"₩34,200"
3,2025-01-12,유치부,교육비,"큐티아이 1, 2월호 2개","₩44,000"
4,2025-01-12,유치부,교육비,"신입생 선물, 새우깡 외","₩45,000"
5,2025-01-12,유치부,교육비,킹덤교재 지도자용 파일 1개,"₩48,000"
6,2025-01-12,유치부,행사비,"생일선물 전체용(27,500원), 당월용 5명(59,000원)","₩86,500"
7,2025-01-12,유치부,교육비,"신입생 선물, 에코백 35개","₩112,000"
8,2025-01-12,유치부,교육비,"킹덤교재 지도자용 파일(어린이용 14개, 교사용 13개)","₩151,900"
9,2025-01-12,유치부,교육비,교사 앞치마 15개,"₩249,000"
10,2025-01-26,유치부,교육비,교사 앞치마 2개,"₩45,800"
11,2025-01-26,유치부,교육비,초등부 교사모임 간식(위원장 심의 후 지급),"₩195,600"
12,2025-02-02,유치부,교육비,"대그룹 활동(요리활동); 삼호어묵, 대파","₩11,160"
13,2025-02-23,유치부,운영행정비,"유치부 사무용품 수납 바구니 2개 10,000원","₩10,000"
14,2025-02-23,유치부,예배비,"유치부 헌금가운 1개, 28,610원","₩28,610"
15,2025-02-23,유치부,운영행정비,"유치부 문구류 사인펜 외 6종 , 69,000원","₩69,000"
16,2025-02-23,유치부,운영행정비,유치부 사무용품 벽시계 외 3종,"₩69,780"
17,2025-03-02,유치부,교육비,"유치부 간식 외 1종 29,490원","₩29,490"
18,2025-03-02,유치부,교육비,마스킹 테이프 외 6종,"₩45,540"
19,2025-03-16,유치부,행사비,유치부 친구 초청잔치 초대장 재료,"₩5,000"
20,2025-03-16,유치부,운영행정비,유치부 화장실 슬리퍼 외 2종,"₩11,000"
21,2025-03-16,유치부,행사비,부활주일 연극팀 십자가 소품,"₩48,800"
22,2025-03-16,유치부,운영행정비,"구급상자 상비약(소독약,마데카솔 등)","₩49,500"
23,2025-03-16,유치부,운영행정비,유치부 문구류 2종,"₩58,250"
24,2025-03-16,유치부,운영행정비,유치부 바닥 롤매트,"₩104,700"
25,2025-03-23,유치부,운영행정비,유치부 간식,"₩12,800"
26,2025-03-23,유치부,운영행정비,유치부 놀이활동 재료,"₩17,800"
27,2025-03-23,유치부,운영행정비,유치부 수납박스 영수증 2건,"₩40,000"
28,2025-03-30,유치부,예배비,유치부 공과공부 활동 외 1건,"₩24,190"
29,2025-03-30,유치부,행사비,유치부 친구 초청잔치 현수막 제작,"₩53,500"
30,2025-04-06,유치부,운영행정비,유치부 간식 외 1종,"₩21,360"
31,2025-04-06,유치부,예배비,유치부 놀이활동 재료,"₩23,660"
32,2025-04-20,유치부,운영행정비,유치부 공과재료 외 2건,"₩16,000"
33,2025-04-20,유치부,운영행정비,유치부 공과재료 외 2건,"₩16,000"
34,2025-04-20,유치부,행사비,유치부 사무용품,"₩22,400"
35,2025-05-04,유치부,행사비,유치부 연극 소품 외 1종,"₩7,920"
36,2025-05-04,유치부,행사비,유치부 간식,"₩12,750"
37,2025-05-04,유치부,행사비,유치부 어린이날 행사비,"₩21,390"
38,2025-05-04,유치부,행사비,유치부 특새 선물 2건,"₩23,700"
39,2025-05-04,유치부,행사비,유치부 종려주일(종려나무가지),"₩32,000"
40,2025-05-04,유치부,행사비,유치부 놀이활동 재료,"₩32,880"
41,2025-05-04,유치부,행사비,유치부 부활절 행사비 3건,"₩113,690"
42,2025-05-18,유치부,예배비,유치부 놀이활동 재료 2건,"₩16,200"
43,2025-05-25,유치부,행사비,유치부 큐티상,"₩10,000"
44,2025-05-25,유치부,행사비,유치부 생일선물 9명,"₩107,100"
45,2025-05-25,유치부,교사교육비,유치부 교사 세미나,"₩210,000"
46,2025-06-01,유치부,예배비,유치부 새친구 카드 작성,"₩10,000"
47,2025-06-01,유치부,예배비,유치부 놀이활동 재료,"₩13,920"
48,2025-06-01,유치부,성경학교및수련회,유치부 여름성경학교 식기도구,"₩23,900"
49,2025-06-01,유치부,행사비,유치부 간식 외1건,"₩33,210"
50,2025-06-08,유치부,행사비,유치부 새친구 선물,"₩20,620"
51,2025-06-15,유치부,행사비,"유치부 VIP, 새친구 선물","₩35,000"
52,2025-06-15,유치부,행사비,유치부 공과공부 재료비 외 2건,"₩45,880"
53,2025-06-29,유치부,성경학교및수련회,유치부 여름성경학교 교재,"₩119,700"
54,2025-07-06,유치부,행사비,유치부 물품 물티슈 외 3건,"₩17,200"
55,2025-07-06,유치부,행사비,유치부 전도지,"₩17,570"
56,2025-07-13,유치부,행사비,유치부 간식비,"₩7,440"
57,2025-07-13,유치부,행사비,유치부 비타민,"₩18,900"
58,2025-07-13,유치부,성경학교및수련회,유치부 여름성경학교 놀이활동 교구,"₩28,768"
59,2025-07-13,유치부,행사비,유치부 놀이활동 재료 2건,"₩32,910"
60,2025-07-13,유치부,행사비,유치부 새친구들 네임택 생일선물,"₩38,700"
61,2025-07-13,유치부,행사비,유치부 전도지 사탕 외 1건,"₩43,570"
62,2025-07-20,유치부,행사비,유치부 전도띠,"₩75,300"
63,2025-07-27,유치부,성경학교및수련회,유치부 여름성경학교 포스터 출력,"₩11,000"
64,2025-07-27,유치부,성경학교및수련회,유치부 여름성경학교 보리차음료,"₩12,300"
65,2025-07-27,유치부,행사비,유치부 여름성경학교 물총놀이,"₩20,680"
66,2025-07-27,유치부,성경학교및수련회,유치부 여름성경학교 현수막,"₩47,300"
67,2025-07-27,유치부,성경학교및수련회,유치부 여름성경학교 연극의상 외 1건,"₩86,000"
68,2025-07-27,유치부,성경학교및수련회,유치부 여름성경학교 티셔츠 외 1건,"₩258,000"
69,2025-08-03,유치부,성경학교및수련회,유치부 여름성경학교 준비물 외 3건,"₩22,500"
70,2025-08-03,유치부,성경학교및수련회,여름성경학교 준비물 외 4건,"₩56,460"
71,2025-08-03,유치부,성경학교및수련회,유치부 여름성경학교 아이들 식사재료비,"₩74,470"
72,2025-08-03,유치부,예배비,유치부 2학기 교재 구입,"₩242,750"
73,2025-08-17,유치부,예배비,유치부 간식,"₩29,940"
74,2025-09-07,유치부,예배비,유치부 필요물품 비닐팩,"₩11,470"
75,2025-09-07,유치부,예배비,유치부 간식 옥수수,"₩33,900"
76,2025-09-14,유치부,예배비,유치부 간식,"₩24,900"
77,2025-09-14,유치부,교육비,유치부 큐티책 5권,"₩33,950"
78,2025-09-14,유치부,예배비,유치부 놀이활동 재료,"₩36,400"
79,2025-09-21,유치부,예배비,유치부 놀이활동 재료,"₩2,000"
80,2025-09-21,유치부,예배비,유치부 놀이활동재료,"₩5,000"
81,2025-09-21,유치부,예배비,유치부 필요물품+새친구 선물,"₩27,200"
82,2025-09-28,유치부,예배비,유치부 놀이활동 재료,"₩4,830"
83,2025-09-28,유치부,예배비,유치부 간식,"₩14,480"
84,2025-10-07,유치부,예배비,유치부 간식,"₩35,560"
85,2025-11-02,유치부,교육비,유치부 간식,"₩9,060"
86,2025-11-02,유치부,예배비,유치부 놀이활동 재료비 외 4건,"₩12,000"
87,2025-11-02,유치부,교육비,유치부 간식,"₩14,880"
88,2025-11-02,유치부,예배비,유치부 수납바구니 외 1건,"₩19,000"
89,2025-11-02,유치부,예배비,유치부 놀이활동 재료,"₩53,400"
90,2025-11-16,유치부,예배비,유치부 추수감사절 준비 1건,"₩6,040"
91,2025-11-16,유치부,교육비,유치부 VIP초청잔치 간식비,"₩12,300"
92,2025-11-16,유치부,교육비,유치부 VIP 초청잔치 간식비,"₩13,300"
93,2025-11-16,유치부,예배비,유치부 vip초청잔치 키즈카페,"₩93,500"
94,2025-11-16,유치부,예배비,유치부 추수감사절 준비 영수증 5건,"₩173,780"
95,2025-11-23,유치부,교육비,유치부 간식,"₩19,900"
96,2025-11-30,유치부,교사교육비,유치부 간식,"₩9,300"
97,2025-11-30,유치부,교육비,유치부 공과공부 재료,"₩18,230"
98,2025-11-30,유치부,예배비,유치부 놀이활동 재료,"₩28,000"
99,2025-11-30,유치부,교육비,유치부 생일선물 외 1건,"₩100,100"
100,2025-12-07,유치부,예배비,유치부 공과활동 재료비,"₩12,500"
101,2025-12-07,유치부,예배비,유치부 공과활동 재료 외 7건,"₩13,200"
,합계,,,,"₩4,688,238"